Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (miles),Sprint Distance (m),Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Top Speed (m/s),Distance Per Min (m/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1  (miles),Distance in Speed Zone 2  (miles),Distance in Speed Zone 3  (miles),Distance in Speed Zone 4  (miles),Distance in Speed Zone 5  (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (miles),Distance in Deceleration Zones: 1 - 2 m/s/s  (miles),Distance in Deceleration Zones: 2 - 3 m/s/s  (miles),Distance in Deceleration Zones: 3 - 4 m/s/s  (miles),Distance in Deceleration Zones: > 4 m/s/s  (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (miles),Distance in Acceleration Zones: 1 - 2 m/s/s  (miles),Distance in Acceleration Zones: 2 - 3 m/s/s  (miles),Distance in Acceleration Zones: 3 - 4 m/s/s  (miles),Distance in Acceleration Zones: > 4 m/s/s  (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (miles),Distance in Power Zone: 5 - 10 w/kg  (miles),Distance in Power Zone: 10 - 15 w/kg  (miles),Distance in Power Zone: 15 - 20 w/kg  (miles),Distance in Power Zone: 20 - 25 w/kg  (miles),Distance in Power Zone: 25 - 30 w/kg  (miles),Distance in Power Zone: 30 - 35 w/kg  (miles),Distance in Power Zone: 35 - 40 w/kg  (miles),Distance in Power Zone: 40 - 45 w/kg  (miles),Distance in Power Zone: 45 - 50 w/kg  (miles),Distance in Power Zone: > 50 w/kg  (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
44797,Aug 24th Practice,Myers,all,training,44797.65422,44797.75234,8477,4.02,136.042,33,775.9422,0,0,0,309.0951,6.0956,45.791,3.6474,17.6672,0,4.8489,5.8667,2.8285,0.8764,0.2305,0.0777,0.0069,7982.8,392.1,77.8,22.8,1.8,3,0,0,0,0,0,24,5,3,1,1.5784,0.3566,0.1311,0.0429,0.0052,3190.2,270.2,83.9,26.2,3.1,1.4307,0.3543,0.0971,0.0195,0.0041,4498,297.2,82.6,21.4,4.5,1.1379,1.0619,0.7467,0.5213,0.2645,0.1318,0.0656,0.0417,0.0187,0.013,0.017,6505.7,1041.8,443.5,244.1,113.2,57.5,30,18.1,8.7,5.9,8.8,0,0,0,0,0,0,159,141,47,19,0,131,126,71,19
44798,Bryant Practice,Myers,all,training,44798.63663,44798.73725,8693,2.8182,55.333,8,526.797,0,0,0,245.8288,6.1978,31.3047,2.4147,11.0568,0,6,4.8243,2.333,0.3954,0.0554,0.0279,0.0065,8484.6,180.1,18.8,8.1,1.7,2,0,0,0,0,0,8,0,0,0,1.1629,0.2277,0.0775,0.0197,0.0054,3251.5,195.6,51.7,12.1,3.1,1.0543,0.1963,0.0547,0.0174,0.0024,4912.5,193.3,51.9,18.2,3.4,1.0318,0.9079,0.4357,0.2088,0.0952,0.0542,0.0349,0.0191,0.0132,0.007,0.0105,7303.6,902.7,268,106,46.3,26.5,16.1,9,6.3,3.2,5.6,0,0,0,0,0,0,123,79,43,9,0,107,90,37,13
44797,Aug 24th Practice,Burns,all,training,44797.64917,44797.75212,8896,3.8795,102.49,18,707.5181,0,0,0,267.9211,6.3334,42.1092,3.1694,16.9816,0,4.8845,4.2445,2.9914,0.6513,0.1731,0.0598,0.0039,8526.2,292,58.8,17.5,1,8,0,0,0,0,0,10,6,2,0,1.5913,0.2758,0.0853,0.019,0.0035,2559,226.4,57.3,12.5,2.2,1.6041,0.2459,0.0463,0.008,0.0002,5744.1,241.4,44.1,8.1,0.4,1.0831,1.3196,0.695,0.4013,0.2182,0.1032,0.0338,0.0163,0.0047,0.0024,0.0018,6842.1,1283.3,423.2,184.5,90.2,44.3,15.3,7.9,2.3,1.3,1.1,0,0,0,0,0,0,183,93,24,1,0,145,92,41,11
44798,Bryant Practice,Burns,all,training,44798.63791,44798.73984,8807,2.6816,20.674,4,501.021,0,0,0,210.3442,5.6312,29.4008,2.2669,10.2531,0,4.6593,4.2074,2.2597,0.3798,0.0291,0.0128,0,8618,175.3,10,3.8,0,3,0,0,0,0,0,2,2,0,0,1.0765,0.2423,0.0932,0.0177,0.0044,2589.7,227.3,72.6,13.1,3.1,0.983,0.1904,0.0634,0.0096,0.0011,5581.9,223.7,77.7,16.1,1.9,1.0327,0.7719,0.4869,0.2264,0.0935,0.0372,0.0208,0.0074,0.0026,0.0013,0.0009,7535,759.5,297.8,124.3,51.4,20.5,11.2,4.4,1.5,0.9,0.6,0,0,0,0,0,0,117,110,30,5,0,106,120,36,11
44797,Aug 24th Practice,Pla,all,training,44797.64946,44797.75955,9512,3.5005,74.392,12,633.5769,0,0,0,261.8092,6.1445,35.5354,2.6544,9.9091,0,4.8267,4.5852,2.9164,0.4605,0.0774,0.0424,0.0039,9260.9,211.2,26.1,12.3,1,27,0,0,0,0,0,11,0,1,0,1.512,0.2486,0.0665,0.0209,0.0038,3127.9,204.3,45,12.9,2.4,1.3651,0.2111,0.0608,0.0107,0.0008,5842.7,205.2,58.3,12.1,0.7,1.5557,0.9544,0.4874,0.2494,0.1202,0.0594,0.0304,0.0185,0.0119,0.0077,0.0054,7989.2,985.1,293,127.9,55.6,26.9,13.4,8.7,5.4,3.6,2.7,0,0,0,0,0,0,120,96,33,6,0,129,78,35,14
44798,Bryant Practice,Pla,all,training,44798.63546,44798.7358,8670,2.5689,37.76,6,444.8514,0,0,0,213.6324,6.0578,28.6109,2.0447,7.1179,0,5.0858,4.0926,2.3105,0.2047,0.0303,0.0204,0.003,8556.3,96.4,10.2,6,0.8,10,0,0,0,0,0,4,2,0,0,1.1672,0.1409,0.0265,0.0072,0.0016,3223.2,136.2,20.5,4.9,1,1.0877,0.1072,0.0262,0.0041,0.0003,5120.6,130.6,27.2,5.2,0.3,1.2964,0.7539,0.3181,0.1002,0.0448,0.0275,0.0115,0.0096,0.003,0.0021,0.0019,7591,784.2,196.7,52.1,20.4,12.5,5.3,4.2,1.5,0.9,0.9,0,0,0,0,0,0,91,44,15,2,0,85,39,17,3
44797,Aug 24th Practice,McCann,all,training,44797.64882,44797.75184,8900,3.7587,87.055,15,699.8578,0,0,0,283.8467,6.4534,40.7799,3.1335,14.7536,0,5.0303,4.6704,2.9773,0.61,0.1172,0.0432,0.0109,8570.9,273.9,40,12.6,2.8,43,0,0,0,0,0,8,6,1,0,1.6025,0.294,0.0864,0.0235,0.0048,2626.4,244.7,55.6,14.1,2.9,1.3872,0.2681,0.0749,0.0151,0.0021,5620.9,249.5,67.8,15.9,2.4,1.2761,1.1045,0.6792,0.344,0.1524,0.0954,0.0495,0.0248,0.0146,0.0069,0.0113,7095.1,1070.1,407.8,164.5,69.6,42.4,23.4,11.1,7.1,3.5,5.6,0,0,0,0,0,0,157,107,46,9,0,147,93,41,14
44798,Bryant Practice,McCann,all,training,44798.63381,44798.73717,8930,2.8599,81.153,15,530.2511,0,0,0,231.0223,6.0245,30.9244,2.3662,9.3049,0,5.3149,5.8312,2.4393,0.289,0.0811,0.0466,0.0038,8755.9,131.8,27.4,13.6,1,24,0,0,0,0,0,11,4,0,0,1.1941,0.2039,0.078,0.0276,0.0054,2852,190.7,54,17.4,3.2,1.1035,0.1677,0.0614,0.0152,0.003,5543.9,187.1,60.5,17.3,3.6,1.2803,0.7812,0.3835,0.1769,0.1055,0.0509,0.031,0.0173,0.0138,0.005,0.0146,7715.7,774.5,238.7,91.1,47.1,23.6,14.3,8.2,6.7,2.7,7.1,0,0,0,0,0,0,94,93,34,9,0,77,68,48,12
44797,Aug 24th Practice,Wasyliw,all,training,44797.65323,44797.75309,8629,3.4278,55.405,15,241.2115,0,0,0,288.1431,6.2845,38.358,2.8881,14.5356,0,5.4489,4.6556,2.8177,0.484,0.0917,0.0306,0.0039,8366.8,220.7,31.1,8.9,1,83,0,0,0,0,0,13,2,0,0,1.5027,0.2222,0.0694,0.0168,0.0044,3266,190.3,45.8,10.3,2.4,1.3404,0.206,0.0502,0.0125,0.0032,4846.3,207.1,45.1,11.6,3.6,1.151,1.1975,0.5608,0.2775,0.115,0.0418,0.034,0.0193,0.0098,0.0081,0.013,6858,1188.2,336.3,134.8,52.6,19.5,15.3,8.9,4.4,3.9,6.6,0,0,0,0,0,0,148,80,25,15,0,132,86,30,9
44798,Bryant Practice,Wasyliw,all,training,44798.63469,44798.73642,8789,2.7854,37.645,7,196.365,0,0,0,252.9234,6.0245,30.6019,2.3081,9.5526,0,5.7023,5.4,2.3778,0.3322,0.052,0.0204,0.003,8613.3,151.5,17.7,5.9,0.8,39,0,0,0,0,0,5,2,0,0,1.2465,0.1594,0.0704,0.0209,0.0053,3244.6,161.6,46.2,12.5,2.9,1.0683,0.1472,0.0494,0.0144,0.0034,5083.6,174.6,44.3,15,3.9,1.1613,0.8778,0.3914,0.1751,0.0677,0.0387,0.0218,0.0203,0.0108,0.0087,0.0118,7484.5,895.7,236,85.8,31.6,19.2,9.9,10.1,5.7,4.2,6.5,0,0,0,0,0,0,105,54,26,14,0,77,55,27,12
