Semester,Week,Date,WeekDay,Session Title,Player Name,Split Name,Tags,NewTags,Split Start Time,Split End Time,Duration,Distance (miles),Sprint Distance (m),Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Top Speed (m/s),Distance Per Min (m/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1  (miles),Distance in Speed Zone 2  (miles),Distance in Speed Zone 3  (miles),Distance in Speed Zone 4  (miles),Distance in Speed Zone 5  (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (miles),Distance in Deceleration Zones: 1 - 2 m/s/s  (miles),Distance in Deceleration Zones: 2 - 3 m/s/s  (miles),Distance in Deceleration Zones: 3 - 4 m/s/s  (miles),Distance in Deceleration Zones: > 4 m/s/s  (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (miles),Distance in Acceleration Zones: 1 - 2 m/s/s  (miles),Distance in Acceleration Zones: 2 - 3 m/s/s  (miles),Distance in Acceleration Zones: 3 - 4 m/s/s  (miles),Distance in Acceleration Zones: > 4 m/s/s  (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (miles),Distance in Power Zone: 5 - 10 w/kg  (miles),Distance in Power Zone: 10 - 15 w/kg  (miles),Distance in Power Zone: 15 - 20 w/kg  (miles),Distance in Power Zone: 20 - 25 w/kg  (miles),Distance in Power Zone: 25 - 30 w/kg  (miles),Distance in Power Zone: 30 - 35 w/kg  (miles),Distance in Power Zone: 35 - 40 w/kg  (miles),Distance in Power Zone: 40 - 45 w/kg  (miles),Distance in Power Zone: 45 - 50 w/kg  (miles),Distance in Power Zone: > 50 w/kg  (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
1,1,44801,7,Vs. Merrimack,Wasyliw,3Q,game,game,44801.53759,44801.55119,1175,0.405,27.449,4,30.0108,0,0.0,0.0,35.4148,6.1689,33.2833,2.6385,15.5817,0,4.2804,4.0815,0.2546,0.1109,0.0224,0.0121,0.0049,1113.2,49.5,7.6,3.5,1.3,9,0,0,0,0,0,3,1,0,0,0.1542,0.0425,0.0082,0.003,0.0006,294.7,28.4,5.2,1.5,0.3,0.1486,0.039,0.0072,0.0014,0.0003,809.2,28.3,5.8,1.2,0.5,0.0676,0.1255,0.0862,0.0564,0.0329,0.0171,0.0081,0.0046,0.0036,0.0011,0.0017,952.0,119.4,50.1,25.8,13.4,6.5,3.3,1.8,1.6,0.4,0.8,1175.0,0.0,0.0,0.0,0.0,0,15,16,2,2,0,24,10,2,3
1,1,44801,7,Vs. Merrimack,McCann,3Q,game,game,44801.53759,44801.55119,1175,0.5451,45.732,9,108.3463,0,0.0,0.0,38.2482,6.0512,44.7999,3.6741,16.7135,0,5.0712,5.3265,0.2764,0.1575,0.0829,0.025,0.0034,1070.9,67.9,28.1,7.3,0.9,11,0,0,0,0,0,5,1,3,0,0.2026,0.0601,0.0145,0.0045,0.0028,273.1,39.1,8.5,2.4,1.7,0.1893,0.0559,0.0119,0.0028,0.0007,797.7,40.3,9.3,2.4,0.6,0.1104,0.098,0.084,0.1165,0.0743,0.0325,0.0136,0.0075,0.0031,0.0014,0.0038,924.8,99.2,47.9,49.2,28.3,13.5,5.7,2.9,1.2,0.6,1.8,1175.0,0.0,0.0,0.0,0.0,0,23,20,6,2,0,19,14,5,5
1,1,44801,7,Vs. Merrimack,Medico,3Q,game,game,44801.53759,44801.55119,1175,0.3077,63.255,6,60.9791,0,0.0,0.0,20.3051,6.1423,25.2867,2.0678,10.6629,0,5.4489,5.3852,0.1456,0.0851,0.0377,0.0359,0.0034,1114.4,36.6,12.7,10.5,0.9,3,0,0,0,0,0,2,1,1,2,0.1169,0.0241,0.0101,0.0038,0.0005,133.7,16.9,5.3,1.7,0.3,0.1165,0.0278,0.0064,0.001,0.0005,989.9,21.0,4.9,0.8,0.6,0.0437,0.0574,0.0552,0.0562,0.0513,0.0266,0.008,0.0037,0.0024,0.0005,0.0027,1030.9,53.1,32.5,24.1,18.0,9.5,3.1,1.4,1.0,0.2,1.3,1175.0,0.0,0.0,0.0,0.0,0,12,7,2,1,0,10,5,4,2
1,1,44801,7,Vs. Merrimack,Pla,3Q,game,game,44801.53759,44801.55119,1175,0.9801,47.135,6,179.1344,0,0.0,0.0,65.4588,5.8845,80.5441,6.0746,32.4483,0,3.9273,3.9111,0.7292,0.1841,0.0375,0.0274,0.0019,1069.8,84.1,12.7,8.0,0.5,3,0,0,0,0,0,3,1,2,0,0.4158,0.0705,0.0162,0.0025,0.0,525.0,54.9,10.0,1.7,0.0,0.3955,0.0651,0.0125,0.0021,0.0,514.3,56.7,10.5,2.0,0.0,0.2292,0.3289,0.2156,0.1089,0.0553,0.0222,0.0083,0.0061,0.003,0.0007,0.0019,626.1,329.5,128.3,51.8,21.3,9.3,3.7,2.7,1.2,0.3,0.9,1175.0,0.0,0.0,0.0,0.0,0,52,21,9,0,0,45,29,5,0
1,1,44801,7,Vs. Merrimack,Rodrigo,3Q,game,game,44801.53759,44801.55119,1175,1.0733,24.163,8,199.0937,0,0.0,0.0,83.0644,6.2267,88.2029,6.752,42.2128,0,5.5519,4.1593,0.6553,0.3411,0.0618,0.01,0.005,995.0,154.7,21.1,2.9,1.3,24,0,0,0,0,0,5,2,0,1,0.4494,0.0736,0.0172,0.0042,0.0013,462.8,53.2,10.0,2.2,0.7,0.4362,0.078,0.0122,0.001,0.0003,574.7,58.3,11.7,1.1,0.3,0.1363,0.318,0.3128,0.1805,0.0744,0.0276,0.0123,0.0074,0.0031,0.0006,0.0003,565.9,297.1,176.6,82.1,32.2,11.0,5.4,3.1,1.2,0.2,0.2,1175.0,0.0,0.0,0.0,0.0,0,46,27,2,2,0,49,22,6,2
1,1,44801,7,Vs. Merrimack,Burns,3Q,game,game,44801.53759,44801.55119,1175,0.0427,0.0,0,6.9752,0,0.0,0.0,5.1919,2.9334,3.5057,0.2366,1.1234,0,0.0,0.0,0.0421,0.0006,0.0,0.0,0.0,1174.7,0.3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.022,0.0007,0.0,0.0,0.0,113.9,0.7,0.0,0.0,0.0,0.0194,0.0006,0.0,0.0,0.0,1059.8,0.6,0.0,0.0,0.0,0.0205,0.0098,0.0117,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159.3,8.2,7.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174.9,0.0,0.0,0.0,0.0,0,2,0,0,0,0,2,0,0,0
1,1,44801,7,Vs. Merrimack,Ferriolo,3Q,game,game,44801.53759,44801.55119,1175,0.5575,21.566,2,104.5505,0,0.0,0.0,37.3219,5.8934,45.8129,3.5457,21.2426,0,5.5512,3.8748,0.3678,0.1446,0.0316,0.013,0.0004,1096.2,64.1,10.8,3.8,0.1,5,0,0,0,0,0,1,1,0,0,0.228,0.0455,0.0073,0.0028,0.0019,245.1,32.9,4.6,1.6,1.0,0.2209,0.0417,0.0076,0.0017,0.0,847.8,34.5,6.2,1.3,0.0,0.0947,0.187,0.1114,0.0936,0.0411,0.0149,0.0063,0.0027,0.0032,0.0021,0.0005,858.5,179.7,65.5,42.1,16.3,6.5,2.7,1.0,1.3,1.1,0.3,1175.1,0.0,0.0,0.0,0.0,0,33,14,3,0,0,31,12,3,4
1,1,44801,7,Vs. Merrimack,Balduzzi,3Q,game,game,44801.53759,44801.55119,1175,1.0829,19.43,4,193.545,0,0.0,0.0,63.9436,6.3512,88.9915,6.5638,42.8596,0,4.5023,4.501,0.8442,0.1999,0.0267,0.0085,0.0036,1072.3,90.2,9.1,2.5,0.9,1,0,0,0,0,0,2,0,2,0,0.4675,0.0592,0.0177,0.0038,0.0006,500.9,53.0,11.6,2.5,0.3,0.4679,0.0538,0.0105,0.0018,0.0002,542.6,52.5,9.3,2.0,0.3,0.1826,0.5061,0.2092,0.1193,0.0347,0.016,0.004,0.0035,0.0026,0.0017,0.0032,460.8,508.1,123.2,54.5,14.7,7.0,1.8,1.6,1.2,0.9,1.2,1174.9,0.0,0.0,0.0,0.0,0,50,17,5,2,0,46,16,10,1
1,2,44804,3,vs. Rutgers,Balduzzi,3Q,game,game,44804.70725,44804.72079,1171,1.0696,0.0,2,193.1112,0,0.0,0.0,64.3698,5.0289,88.1985,6.5743,44.5622,0,4.9734,3.9186,0.8316,0.2114,0.0266,0.0,0.0,1063.3,98.1,9.1,0.0,0.0,6,0,0,0,0,0,1,1,0,0,0.4236,0.0692,0.0204,0.0039,0.0035,444.7,57.7,15.3,2.7,2.0,0.4709,0.0699,0.0079,0.0003,0.0,575.6,64.2,7.8,0.5,0.0,0.1685,0.452,0.2801,0.1158,0.034,0.0105,0.0061,0.0015,0.001,0.0,0.0,476.3,446.8,165.1,57.3,15.9,4.9,3.1,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,59,25,2,0,0,39,30,7,6
1,2,44804,3,vs. Rutgers,McCann,3Q,game,game,44804.70725,44804.72079,1171,0.5739,64.737,9,112.6224,0,0.0,0.0,41.4327,6.2089,47.3213,3.8341,20.7518,0,3.8978,3.4711,0.2889,0.174,0.0707,0.0302,0.01,1058.6,76.8,23.7,8.8,2.6,6,0,0,0,0,0,3,2,3,1,0.199,0.0583,0.0204,0.0053,0.0,263.0,34.8,11.9,3.3,0.0,0.2225,0.0536,0.0127,0.002,0.0001,805.5,39.7,10.3,1.8,0.2,0.0809,0.1137,0.1216,0.1112,0.0822,0.0356,0.0132,0.009,0.0033,0.0018,0.0014,891.4,102.9,70.5,49.6,31.9,12.9,4.6,3.8,1.4,0.9,0.6,0.0,0.0,0.0,0.0,0.0,0,23,25,5,0,0,24,14,12,0
